,ID,X,Y
720,27840110,147.093,-36.2576
721,30232980,147.229,-36.2959
722,29083270,146.982,-36.1382
723,27848470,147.022,-36.3524
724,27849610,146.956,-36.1987
725,29689000,147.035,-36.4075
726,29688230,146.83,-36.2415
727,29686470,146.995,-36.2408
728,29690200,146.836,-36.4902
729,29688280,146.942,-36.1459
730,27840070,147.827,-36.403
731,28513790,147.051,-36.2055
732,30370880,147.735,-35.9674
733,27849930,147.028,-36.1554
734,29686320,146.519,-36.0507
735,29689320,147.432,-36.5966
736,27839380,147.979,-36.0904
737,27849620,146.957,-36.2038
738,28675800,146.827,-36.7094
739,27845870,147.133,-36.7255
740,29686250,147.349,-36.4948
741,28516450,147.973,-36.0774
742,27845460,147.027,-36.437
743,30398130,146.288,-36.3765
744,29686450,147.006,-36.257
745,29691870,147.226,-37.0219
746,29689020,147.035,-36.3066
747,27843740,146.916,-36.4305
748,28514600,146.892,-36.4156
749,27850230,147.692,-36.0186
750,29689790,147.093,-36.2579
751,27847100,147.162,-36.0674
752,29686530,147.311,-36.0746
753,29688780,146.675,-36.6891
754,27842240,146.914,-36.4296
755,27849070,147.828,-36.1341
756,29687300,146.96,-36.4474
757,29690850,146.867,-36.3343
758,27845880,147.134,-36.7254
759,27845310,147.507,-36.1577
760,27848100,147.06,-36.2177
761,28516150,147.476,-35.9591
